bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Heckmeck Extrawurm,2015,,"id,num_games,score,game,url,images",Doris Matthäus,"name,id,url,num_games,score,game,images",2,7,,,,,8,,20,30,,"R0bGq4cAl4,hmipYN1R1I",,,,,,,,0,,,,,,jhYgHUgmwE,,,,,
,Kapteeni ja pilssihiiri,2010,,"id,num_games,score,game,url,images",Mauri Kunnas,"name,id,url,num_games,score,game,images",2,4,,,,,6,,20,20,,,,,,,,,,0,,,,,,jhYjUr9g2U,,,,,
,What Do You Meme?: Fresh Memes Expansion Pack #2,2018,,"id,num_games,score,game,url,images",,"id,num_games,score,game,url,images",3,20,,,,,17,,30,90,,,,,,,,,,0,,,,,,jhZGGO57cf,,,,,
,Quickie: The STD Card Game,2015,,,,"name,id,url,num_games,score,game,images",3,8,,,,,17,,10,15,,,,,,,,,,0,,,,,,jhbifIPE7b,,,,,
,The Weather Game,1986,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,6,,,,,,,,,,,,,0,,,,,,jhbubfde2Q,,,,,
,Autofarmer: The card game,2018,,,Jan Gruml,,2,4,,,,,18,,15,60,rrvd68LjOR,,,,,,,,,0,,,,,,jhhmT2vpuT,,,,,
,Build or Bust,1963,,,,"name,id,url,num_games,score,game,images",2,4,,,,,,,,,,,,,,,,,,0,,,,,,jhle0ZftI2,,,,,
,Bauernhof,2008,,,,"name,id,url,num_games,score,game,images",1,1,,,,,7,,,,,,,,,,,,,0,,,,,,jhm1cmarKg,,,,,
,Alexandros,1991,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,2,,,,,12,,240,240,,,,,,,,,,1,2.0,,,,,jhmL2Ktv0C,,,,,
,Zipp-Zapp-Zahlendrachen,2007,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,2,,,,,6,,,,,,,,,,,,,0,,,,,,ji1NO3HXzD,,,,,
,Pass the Peas,,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,,,,,,,,,,,,1,4.0,,,,,ji3AZNEgTU,,,,,
,Operation Grenade,1981,,"id,num_games,score,game,url,images",Redmond A. Simonsen,"name,id,url,num_games,score,game,images",2,2,,,,,12,,240,240,,,,,,,,,,1,3.0,,,,,ji3zMQfTHx,,,,,
,Visualise,2013,,,,"name,id,url,num_games,score,game,images",2,6,,,,,8,,,,,,,,,,,,,0,,,,,,ji4gERrPyI,,,,,
,Museum: Paul Martins Promo Card,2019,,,,"name,id,url,num_games,score,game,images",2,4,,,,,12,,30,60,,,,,,,,,,0,,,,,,ji7GjUE53A,,,,,
,Viva Pamplona!,1992,,"id,num_games,score,game,url,images","(Uncredited),Wolfgang Kramer","name,id,url,num_games,score,game,images",2,6,,,,,8,,45,45,,"R0bGq4cAl4,mGBzR68m8Z",,,,,,,,3,3.3333333333333335,,,,,ji8AUtly84,,,,,
,The Abductinators,2003,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,6,,,,,,,,,,,,,,,,,,0,,,,,,ji8CgizPlC,,,,,
,Super Smash Bros. The Board Game,2014,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,6,,20,20,,,,,,,,,,0,,,,,,jiB2wUyYx9,,,,,
,Tembo,2017,,"id,num_games,score,game,url,images",Oliver Freudenreich,"name,id,url,num_games,score,game,images",2,4,,,,,8,,20,20,,,,,,,,,,1,3.0,,,,,jiBIVCm9Lv,,,,,
,Tryptic,2013,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,6,,,,,9,,10,30,,,,,,,,,,0,,,,,,jiCUXxBgt1,,,,,
,"Wir sammeln Kräuter, Pilze, Beeren",1955,,,,"name,id,url,num_games,score,game,images",2,6,,,,,6,,30,30,,,,,,,,,,0,,,,,,jiEsHI4lvk,,,,,
